mean_2d,mean_3d,mean_Z,adjusted_mean_2d,adjusted_mean_3d,median_2d,median_3d,median_Z,sd_2d,sd_3d,sd_Z,point_fraction,name,mean_2d_woody,mean_3d_woody,mean_Z_woody,adjusted_mean_2d_woody,adjusted_mean_3d_woody,median_2d_woody,median_3d_woody,median_Z_woody,sd_2d_woody,sd_3d_woody,sd_Z_woody,fraction_points_woody,mean_2d_herb,mean_3d_herb,mean_Z_herb,adjusted_mean_2d_herb,adjusted_mean_3d_herb,median_2d_herb,median_3d_herb,median_Z_herb,sd_2d_herb,sd_3d_herb,sd_Z_herb,point_fraction_understory,sd_2d_partial,sd_3d_partial,sd_adjusted_3d_partial,sd_Z_partial,mean_fraction_points_partial,sd_fraction_points_partial
2.35694183675689,2.85782313332609,0.573133187951821,3.02905276202527,3.67276651480389,1.45449819525498,2.04807861177251,0.408,2.59753689925122,2.54421588049825,1.41750948396949,0.778111846153846,K16_center_2024,2.9125855864643,3.6530930698377,1.67292906257437,4.18637018996589,5.2507297982287,1.86271441718799,2.89607890085888,1.495,3.11689020983731,2.95598844724904,1.04216396317528,0.695730538461539,1.71346003274849,1.93705959515341,-0.699936694678254,1.90078356944431,2.14882809119044,1.18137885540583,1.41450892538717,-0.791,1.59351042888798,1.50682538248007,0.239980155487131,0.901449307692308,0.301994161669415,0.326146846929712,0.629786726614932,0.156904108315616,0.777221953846154,0.0461079526714114
3.04052442008438,3.58933986439165,0.56773034265336,4.7092486273272,5.55926922268497,1.74640659641448,2.44088713381016,-0.475,3.26008782069302,3.19965195052184,1.71051286340667,0.645649584615385,K15_center_2024,4.43468152479823,5.40352415016194,2.24570475077437,9.44259438479649,11.5055131948292,3.11296161235567,4.31570834278685,2.194,4.04841543934611,3.68209444249689,1.28710347149394,0.469646512820513,1.96033187671575,2.18390085064117,-0.731879596046531,2.15539686840403,2.40121232036641,1.34106897660038,1.55970381803726,-0.805,1.86871749677703,1.77222051126487,0.198833070113894,0.909499269230769,0.380335374196008,0.45797935055486,1.14023334148975,0.440124672819817,0.645299969230769,0.0987133330670778
2.89738996495925,3.41997694063672,0.563897100742842,4.40771913517755,5.20271623268442,1.77038103243341,2.34388758262848,-0.321,2.89479629475551,2.89023387781295,1.71959299700991,0.657344507692308,K14_center_2024,4.06827243107991,4.94266830475482,2.16520335146104,8.22732260833633,9.99562526308552,2.88011840034399,3.75689792248871,2.065,3.47768284642416,3.27357120595821,1.34648225751352,0.494483153846154,1.93376133648452,2.16699055135546,-0.753584393434397,2.14523213187516,2.40396664910505,1.38757378182207,1.58818575739742,-0.86,1.80739467283266,1.71214103628652,0.230818427521289,0.901422884615385,0.419537367409838,0.440526713158792,0.985463913162808,0.116704949427901,0.657065338461539,0.0581187207806511
1.87851062125759,2.28447082311908,0.313046833622737,3.02510035295739,3.67884717559484,1.091630889999,1.36133721024582,-0.111,2.21956223198842,2.33841197951518,1.46072604932484,0.620974646153846,K13_center_2024,2.30936918118356,2.93497060932768,1.41368398992606,4.7675045523689,6.05900773901703,1.36524063812941,1.59525060727146,0.713,2.86103531027491,3.01630770899634,1.4815374635273,0.484397897435898,1.49939083813733,1.71222610215288,-0.655698834454907,1.81663268843097,2.07449974218848,1.01443826820561,1.27092604033437,-0.768,1.3234512722511,1.25458961474666,0.275819181934225,0.825368192307692,0.67577507943311,0.857009909838962,1.74915636725936,0.429817970952067,0.619864953846154,0.079676751108816
2.61292928319098,3.01410855025645,0.332446264093552,4.08297544656269,4.70986003453667,1.90829059631912,2.34920816446734,-0.37,2.47901957612373,2.45819210597555,1.4297205384097,0.639957138461539,K12_center_2024,3.59005053290596,4.21263200027736,1.71682017095805,7.73017347087371,9.07072918127938,2.6960689902152,3.50124592109723,1.712,2.91057113676503,2.79033053465884,1.10673135741469,0.464420435897436,1.85900692247333,2.08949746754775,-0.735444337494049,2.05868565350553,2.31393353487548,1.28320614088306,1.54108792740713,-0.826,1.74517239796189,1.65353949648957,0.240376244877501,0.903006692307692,0.258271405859912,0.270769528786435,0.576180588922343,0.074973198286356,0.639615030769231,0.0377364639565315
2.44734907206987,3.14845686358706,0.785661968751168,3.09751167331871,3.98487571683151,1.5178488066998,2.29819537898761,0.585,2.87417827310333,2.78281731096323,1.67008081156452,0.790101646153846,K11_center_2024,2.65507837662911,3.70538136105245,2.01062140842488,3.56674202910459,4.97768335227291,1.70872613370312,2.96899385314284,1.823,3.14021844573977,2.94242294805897,1.19778646090815,0.744398769230769,2.17707831228532,2.42414884705388,-0.807464215667914,2.53603357681484,2.82384094161145,1.28946539309902,1.55018998835627,-0.89,2.45951190971174,2.37192415192313,0.248303373818353,0.858458,0.595973686814084,0.608868627371547,0.760864462647227,0.129550082265567,0.789365338461538,0.0462355692457773
3.74108246868923,4.01870389006692,-0.0571731629507293,7.88152087246105,8.46639945921864,1.87799281148784,2.03377272574884,-0.776,4.020893704785,4.04168896487239,1.52272050004343,0.474665046153846,K10_center_2025,9.13193987848792,9.55160782809814,2.29212394965628,49.6540978286233,51.9360043789032,8.60748308159824,9.13812311144909,2.166,4.07150904090704,4.07957858432036,1.62875101627793,0.183911102564103,2.10777400995284,2.34240026833398,-0.768834412691548,2.31449343631193,2.57213060825037,1.39678559557292,1.62065079520543,-0.84,2.13811540475196,2.03909422447099,0.198467068516972,0.910684807692308,0.847551819368332,0.893693185599832,1.74579959409598,0.319274005094202,0.474388523076923,0.0263835139129471
3.19297190567628,3.62434787850358,0.449659940659083,5.046467295165,5.72825366945879,2.18913042096628,2.70009870189962,-0.516,3.10210585141781,3.10798566590855,1.66587758986815,0.632714276923077,K09_center_2024,4.74781917099775,5.45222744068728,2.13467982960062,10.7327003977364,12.3250531483314,3.42511912201605,4.29373124450051,2.342,3.5612735711809,3.42173801723636,1.28598638084919,0.442369487179487,2.06905269164805,2.30318348111967,-0.768205698152876,2.25387853326284,2.50892392794809,1.28145230110215,1.52751039276334,-0.874,2.09769929014362,2.0044116596497,0.225519222787098,0.917996538461539,0.287967723808654,0.353905046418661,0.460915114041867,0.271639311932008,0.6323722,0.0530249626741636
3.60942948871423,4.15544033866449,0.724972203757181,5.98338543513572,6.88851279036832,2.42763629895419,2.85241476647419,-0.573,3.46880138000573,3.55773030368631,2.08302195680693,0.603242015384615,K08_center_2024,6.0487593182489,7.04981476783947,2.92291244042157,14.883471756563,17.3466513487456,5.06028665195955,6.17702023632755,3.092,3.8816572261075,3.61225526174392,1.59690556378359,0.406407820512821,1.9541206784056,2.19146092586691,-0.766514215021066,2.17551925682994,2.43974975419827,1.34785236580272,1.60447187572734,-0.868,1.78745366028199,1.68807285576413,0.225762524977249,0.898231846153846,0.333084117946614,0.376712839632396,0.545968428837839,0.197919783950298,0.602946753846154,0.0550376316632162
2.97470876034831,3.48624679674673,0.582190614463238,4.87673335309624,5.71534808968291,1.83922239003333,2.353817431323,-0.358,3.23493450068608,3.21259007027675,1.67988464427932,0.609979784615385,K07_center_2024,4.2206603595278,5.07173150349516,2.12990643538903,9.06051591182809,10.8875152401694,2.72604420360346,4.03327336043567,1.896,3.96826232310146,3.75026772095889,1.29976438213647,0.465830025641026,1.92054458884801,2.14496271662924,-0.726864697179664,2.3248819828436,2.59654745988156,1.30038494300726,1.53178490657142,-0.802,1.88987249019156,1.79671533526166,0.201517330848105,0.826082615384615,0.195519582841641,0.215271285917436,1.15438167760977,0.215181177207943,0.6095076,0.100848005980313
2.81939450004395,3.40861915364713,0.521854089210245,4.24572998203846,5.13304418298489,1.59067910025875,2.32513526488245,-0.399,3.17326337009418,3.01261704499404,1.55036402816337,0.664054123076923,K06_center_2024,3.87934106077924,4.90765581444602,2.08348409843002,7.81397339659621,9.88525921616929,2.38770705908409,3.52908727576976,2.174,4.01382345173611,3.50669248973726,0.938619356906552,0.496462025641026,1.9566605773435,2.18873059618506,-0.748614991570234,2.13772470912374,2.39126986624955,1.37097374154285,1.57864007930876,-0.84,1.86945778784112,1.77139123444212,0.211071324335244,0.915300538461539,0.516574290012616,0.413121121439113,1.40506782169768,0.254182509742178,0.663615815384615,0.120955316968444
2.98738819415681,3.266957207344,0.0869849177880584,5.30179188556489,5.79794994378792,1.56081549197847,1.74463921771809,-0.606,3.46343908042399,3.4725823598358,1.34326945386081,0.563467646153846,K05_center_2024,4.97712684321559,5.35150796990343,1.56430786104833,14.8860536413898,16.0057875179326,3.12902013416339,3.63323925719184,1.15,4.60956350994546,4.6275595430544,1.25937227836775,0.334348307692308,1.88696955534094,2.11417533084593,-0.729938035192699,2.08061256707656,2.33113446367528,1.25402551808167,1.46863848512832,-0.817,1.86496155081678,1.77569846425015,0.226488757834781,0.906929807692308,0.819819747008404,0.824301119788921,2.33725658995426,0.164791372455969,0.563082953846154,0.064788630363563
2.69972764547056,3.25966801004315,0.506189396266773,4.47948750503002,5.40856117321023,1.13878048806607,1.93036576844908,-0.437,3.47108056761613,3.42091643772322,1.65376767314215,0.602686723076923,K04_center_2024,3.98450826896679,5.01176791560677,2.17651721098508,9.45018296932152,11.8865668246035,1.17322845175183,2.69135672106096,2.152,4.64015924351619,4.32012019129785,1.27931437134072,0.421632923076923,1.76996493877075,1.99189027248986,-0.702279752177175,2.02493225926367,2.2788264226745,1.12997920334845,1.37070419857823,-0.771,1.76858081663577,1.68441542090039,0.225901179882776,0.874086,0.795502576356643,0.835674126901919,1.41777028820927,0.173270077683426,0.6020234,0.0427139179801062
3.83655200334904,4.15991363384584,0.136213789280829,6.97678306061482,7.564817301812,2.65713567587355,2.97350584327659,-0.846,3.55425009563102,3.50934019433895,1.4999902997676,0.549902723076923,K03_center_2024,6.71257170080674,7.17014125211424,2.05143600223511,21.5787275918873,23.0496643866213,5.58813027765102,6.08788378667004,2.083,3.72102257710303,3.56690703600727,1.01031382572841,0.311073564102564,2.35841083098967,2.61283588792203,-0.847904435581322,2.5971555539761,2.87733636089908,1.50080011993603,1.7488950797575,-0.91,2.36067500424312,2.24841946628042,0.168734825736023,0.908074538461539,0.276554444378732,0.286853663495073,0.540388634349992,0.162523725991364,0.549651938461539,0.0253135459519394
2.81773083296994,3.08569740213783,-0.00653219476770222,5.42156619943892,5.9371578510549,1.7776245385345,1.96985100959438,-0.627,2.94734662713311,2.95116080844961,1.26663995065845,0.519726353846154,K02_center_2024,5.20357389359999,5.56909758709176,1.56650956508753,19.4274542959847,20.7921307653907,3.94906697841402,4.44155130556879,1.273,3.75800040502394,3.75670851036027,1.21408664459127,0.26784641025641,1.7494201791303,1.97378251427855,-0.710881708636877,1.94968224037732,2.19972809297839,1.23935507422207,1.48433217306639,-0.811,1.60098895676977,1.51403920087865,0.243192769408333,0.897284769230769,0.390649944110524,0.366651673067404,1.30389175036216,0.154738490110113,0.519411938461539,0.075473511211464
3.57445054051949,4.25485534810894,0.780703253162024,5.95876638778047,7.0930311514381,2.04425047389012,3.05781327095034,-0.626,3.76411171874078,3.74249310651501,2.1343189872546,0.599864184615385,K01_center_2024,5.82516416780948,7.18699569566325,3.17236620087783,14.8063563406516,18.2678489778487,4.50023510496952,5.91071104013722,3.494,4.46232714653831,3.78677917300765,1.44353582445111,0.393423205128205,2.11358612929339,2.35188254282119,-0.771186442513021,2.32409830561983,2.58612892894738,1.27731750164162,1.50609362258792,-0.84,2.24005168532435,2.14192684742432,0.198483568119254,0.909422,0.197303400752821,0.182535758768242,1.43280602802379,0.607610999498933,0.599573415384615,0.122379193720124
