bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,reproductive_height,bulk_density,leaf_size,hairs,width_cm,length_cm,height_cm,growth_form,life_form,growth_forms_per_plot,plot_ID,site_ID,species_per_plot,dominant_growth_form_plot,forbs_per_plot,graminoids_per_plot
50,0,130,5,60,250,43.25,low,Macro,absent,38.6785714285714,58.5357142857143,49.3214285714286,Straight forb,Forb,6,SU_S02_P02,SU_S02,14,Sparse upward graminoid,9,2
30,0,20,20,660,165,70.25,low,Thick linear,absent,18.6538461538462,24.5384615384615,33.3846153846154,Straight forb,Forb,7,DA_S04_P05,DA_S04,13,Shrub single-stemmed,6,5
20,15,180,202,277,400,36.0588235294118,low,Thin linear,absent,8.92857142857143,12.3333333333333,12.5952380952381,Round forb,Graminoid,8,AN_S03_P01,AN_S03,21,Relaxed tussock graminoid,9,12
20,10,70,135,1230,1640,56.7916666666667,low,Macro,absent,19.5263157894737,25.6842105263158,27.4473684210526,Straight forb,Forb,7,SY_S02_P01,SY_S02,19,Round forb,12,7
85,0,205,70,110,300,27.3888888888889,low,Macro,absent,10.1538461538462,17.2307692307692,19.1153846153846,Straight forb,Forb,5,AN_S03_P05,AN_S03,13,Sparse upward graminoid,6,5
65,15,84,88,534,136,34.7647058823529,low,Macro,absent,13.6086956521739,21.1521739130435,20.5434782608696,Straight forb,Forb,7,DA_S01_P02,DA_S01,23,Straight forb,12,8
70,0,40,76,237,85,22.1,low,Micro,absent,12.1923076923077,18.3461538461538,30.6153846153846,Straight forb,Forb,4,DA_S01_P04,DA_S01,13,Shrub multi-stemmed,8,2
5,0,590,60,940,660,55,low,Thin linear,absent,8.40625,13.78125,23.3125,Round forb,Forb,6,SY_S05_P03,SY_S05,16,Angry tussock graminoid,11,4
20,20,105,95,230,250,51.7,low,Macro,absent,14.1052631578947,19.2631578947368,16.8947368421053,Straight forb,Forb,9,AN_S03_P03,AN_S03,19,Sparse upward graminoid,11,7
70,0,40,53,300,92,31.1176470588235,low,Thin linear,absent,12.6739130434783,17.8913043478261,22.1086956521739,Sparse upward graminoid,Forb,8,AN_S05_P02,AN_S05,23,Sparse upward graminoid,10,10
40,5,10,35,320,200,36.8666666666667,low,Thin linear,absent,8.26315789473684,12.9473684210526,18.8684210526316,Sparse upward graminoid,Graminoid,5,AN_S05_P05,AN_S05,19,Sparse upward graminoid,7,10
5,0,36,208,1205,1510,55.6,medium,Thin linear,absent,14.40625,20.28125,24,Straight forb,Graminoid,8,SY_S01_P01,SY_S01,16,Relaxed tussock graminoid,7,8
20,0,60,60,170,50,57.3333333333333,low,Macro,absent,18.7666666666667,24.2333333333333,23.0666666666667,Straight forb,Graminoid,8,SY_S01_P04,SY_S01,15,Sparse upward graminoid,6,7
15,0,80,40,190,30,72.3333333333333,medium,Thin linear,absent,24.2142857142857,33.8571428571429,28.2857142857143,Sparse upward graminoid,Graminoid,6,SY_S01_P05,SY_S01,7,Angry tussock graminoid,1,5
5,0,130,310,910,300,70,low,Macro,both,11.8333333333333,23.5833333333333,24.5,Round forb,Forb,6,MA_S02_P03,MA_S02,12,Large graminoid,7,5
50,0,74,110,290,230,41.6666666666667,low,Thin linear,both,16.7,24.6666666666667,20.7666666666667,Relaxed tussock graminoid,Forb,7,MA_S01_P02,MA_S01,15,Relaxed tussock graminoid,7,7
10,0,340,250,760,140,55.5555555555556,low,Macro,both,15.8666666666667,21.4,26,Sparse upward graminoid,Forb,5,MA_S02_P05,MA_S02,15,Sparse upward graminoid,9,6
40,0,50,130,280,370,56.375,low,Macro,both,10.4,14.75,17.7,Straight forb,Forb,8,MA_S01_P05,MA_S01,20,Sparse upward graminoid,11,6
25,0,50,110,250,120,84.2222222222222,low,Macro,absent,21.6944444444444,31.9722222222222,32.3055555555556,Sparse upward graminoid,Graminoid,9,MA_S03_P03,MA_S03,18,Angry tussock graminoid,5,8
40,0,200,150,650,130,47.6,low,Macro,both,23.375,33.5,24.5,Round forb,Forb,6,MA_S03_P04,MA_S03,8,Angry tussock graminoid,5,3
30,0,96,110,600,970,82.8,low,Macro,absent,15,23.9333333333333,26.2,Round forb,Forb,7,MA_S04_P05,MA_S04,15,Large graminoid,8,6
40,0,350,110,640,610,44.8125,low,Thin linear,Absent,10.7222222222222,19.8888888888889,18.8888888888889,Sparse upward graminoid,Graminoid,5,LA_S05_P04,LA_S05,9,Relaxed tussock graminoid,4,5
10,0,710,450,1000,710,30.7333333333333,low,Thin linear,absent,6.05263157894737,7.63157894736842,17.3157894736842,Straight forb,Forb,6,WI_S01_P02,WI_S01,19,Angry tussock graminoid,13,6
15,5,309,251,402,148,42.5714285714286,low,Thin linear,absent,12.5416666666667,18.6666666666667,28.7916666666667,Straight forb,Forb,4,SY_S05_P01,SY_S05,12,Relaxed tussock graminoid,8,4
25,0,240,240,840,230,60.7142857142857,medium,Thin linear,Absent,16.0888888888889,21.9444444444444,33.8888888888889,Sparse upward graminoid,Graminoid,6,LA_S01_P01,LA_S01,9,Relaxed tussock graminoid,2,5
10,5,120,100,450,130,52.6923076923077,medium,Thin linear,Absent,10,19.2,26.7333333333333,Sparse upward graminoid,Graminoid,5,LA_S02_P04,LA_S02,15,Sparse upward graminoid,6,9
75,0,220,180,430,570,44.25,low,Thin linear,Absent,14.1538461538462,19.1538461538462,21.3846153846154,Straight forb,Graminoid,7,LA_S03_P02,LA_S03,13,Relaxed tussock graminoid,6,7
25,0,180,,100,70,42.3571428571429,low,Macro,Absent,23.85,28.3,26.55,Round forb,Forb,8,LA_S03_P04,LA_S03,21,Relaxed tussock graminoid,12,6
10,0,110,70,130,370,42.4,low,Macro,Absent,11.6363636363636,16.3636363636364,20.2727272727273,Straight forb,Forb,5,LA_S03_P05,LA_S03,11,Straight forb,5,5
20,0,180,100,1000,350,33.5,low,Thin linear,Absent,13.7727272727273,23.4545454545455,18.5,Creeping forb,Forb,6,JE_S01_P01,JE_S01,11,Angry tussock graminoid,8,3
40,0,70,100,430,440,34.4166666666667,low,Thin linear,Absent,20.1538461538462,30.8461538461538,23.2307692307692,Straight forb,Forb,6,JE_S01_P05,JE_S01,13,Angry tussock graminoid,8,4
30,0,100,130,300,590,33.5,low,Thin linear,Absent,14.8461538461538,22.6923076923077,19.1538461538462,Round forb,Forb,7,JE_S01_P03,JE_S01,13,Angry tussock graminoid,7,5
50,0,5,20,220,170,34.5454545454546,low,Macro,Absent,9.66666666666667,24.4,19.3,Straight forb,Forb,7,JE_S02_P02,JE_S02,15,Relaxed tussock graminoid,8,5
40,0,100,130,460,300,52.5,medium,Thin linear,Absent,25.8181818181818,33.8181818181818,22.8636363636364,Relaxed tussock graminoid,Graminoid,7,JE_S02_P04,JE_S02,11,Relaxed tussock graminoid,4,7
75,0,240,220,1040,220,36.5,low,Thin linear,Absent,7.71428571428571,14.1428571428571,10.0357142857143,Sparse upward graminoid,Forb,6,JE_S05_P01,JE_S05,14,Sparse upward graminoid,7,7
25,0,120,170,340,220,50.875,medium,Macro,Absent,26.0384615384615,36.1538461538462,40.8461538461538,Round forb,Forb,6,JE_S04_P02,JE_S04,13,Relaxed tussock graminoid,8,4
20,0,250,420,570,710,38.2857142857143,low,Thin linear,absent,9.22222222222222,14.0882352941176,19.4411764705882,Relaxed tussock graminoid,Forb,7,JE_S04_P04,JE_S04,18,Relaxed tussock graminoid,10,8
50,0,90,80,250,100,51.875,low,Macro,absent,10.6785714285714,17.2142857142857,29.1428571428571,Relaxed tussock graminoid,Graminoid,7,JE_S05_P04,JE_S05,14,Relaxed tussock graminoid,4,6
10,0,110,50,90,180,58.9666666666667,low,Macro,absent,30.35,43.675,46.475,Round forb,Forb,10,WI_S01_P03,WI_S01,20,Relaxed tussock graminoid,11,6
10,0,170,120,140,90,41,medium,Macro,absent,12.6,18.4,27.1,Round forb,Forb,6,SU_S02_P05,SU_S02,10,Angry tussock graminoid,6,3
10,0,190,60,250,390,48.9285714285714,low,Thin linear,absent,14.0666666666667,20.4,26.6333333333333,Sparse upward graminoid,Forb,6,SU_S03_P04,SU_S01,15,Relaxed tussock graminoid,8,7
20,0,182,151,330,202,53.1428571428572,low,Thin linear,absent,7.63636363636364,12.2272727272727,19.2727272727273,Sparse upward graminoid,Graminoid,6,SU_S04_P04,SU_S05,11,Angry tussock graminoid,5,6
70,0,90,140,190,200,50.8888888888889,low,Macro,absent,9.76666666666667,15.2333333333333,16.4333333333333,Sparse upward graminoid,Forb,6,DA_S03_P04,DA_S03,15,Sparse upward graminoid,8,6
50,0,119,65,92,254,104.333333333333,medium,Macro,absent,31.2857142857143,41,76.0714285714286,Straight forb,Forb,4,DA_S02_P04,DA_S02,7,Large graminoid,4,2
40,0,25,130,660,160,50,low,Macro,absent,9.92105263157895,14.8947368421053,27.3157894736842,Straight forb,Forb,9,DA_S02_P02,DA_S02,19,Large graminoid,10,8
55,0,122,258,390,498,55.84375,low,Thin linear,absent,14,17.1111111111111,28.0833333333333,Sparse upward graminoid,Graminoid,6,DA_S02_P03,DA_S02,18,Sparse upward graminoid,8,9
65,0,170,30,770,410,35.7,low,Thin linear,absent,6.69444444444445,10.5277777777778,16.8333333333333,Sparse upward graminoid,Forb,6,DA_S03_P05,DA_S03,18,Sparse upward graminoid,10,8
60,0,30,46,170,69,55.15,low,Macro,absent,18.6538461538462,26.5,36.0769230769231,Sparse upward graminoid,Graminoid,6,DA_S04_P01,DA_S04,13,Shrub single-stemmed,5,6
30,0,46,39,381,590,57.4166666666667,low,Macro,absent,15.7307692307692,21.0384615384615,30.6538461538462,Straight forb,Forb,6,DA_S04_P03,DA_S04,13,Shrub single-stemmed,7,5
40,0,71,30,425,70,61.8571428571429,low,Macro,absent,20.1111111111111,31,35.4444444444444,Sparse upward graminoid,Graminoid,5,DA_S04_P04,DA_S04,9,Shrub single-stemmed,3,4
60,0,30,62,152,70,28.2222222222222,medium,Thin linear,absent,16.3846153846154,22.8461538461538,23.3846153846154,Sparse upward graminoid,Graminoid,6,AN_S02_P02,AN_S02,13,Shrub single-stemmed,4,7
50,5,210,460,265,340,43.3333333333333,low,Thin linear,absent,14.3571428571429,21.6071428571429,18.6071428571429,Straight forb,Forb,5,KA_S01_P04,KA_S01,14,Relaxed tussock graminoid,8,6
45,0,240,150,350,150,60.3333333333333,medium,Thin linear,absent,30.2857142857143,47.5,20.4285714285714,Relaxed tussock graminoid,Graminoid,4,KA_S01_P05,KA_S01,7,Relaxed tussock graminoid,2,5
25,1,146,60,190,85,46.4,low,Macro,both,17.1875,22.875,24.5,Round forb,Forb,8,SW_S04_P05,SW_S04,16,Relaxed tussock graminoid,8,6
60,0,309,119,275,290,34.5833333333333,low,Thin linear,absent,8.83333333333333,15.9285714285714,15.547619047619,Straight forb,Forb,6,AN_S04_P02,AN_S04,21,Sparse upward graminoid,12,9
55,0,30,110,270,460,47.65,low,Macro,absent,19.1052631578947,31.1578947368421,31.578947368421,Straight forb,Forb,9,KA_S05_P05,KA_S05,19,Sparse upward graminoid,10,7
10,0,110,80,230,210,47.35,low,Macro,absent,12.4722222222222,23.1666666666667,28.6388888888889,Straight forb,Forb,8,SU_S01_P01,SU_S01,18,Relaxed tussock graminoid,11,5
40,0,60,70,120,140,59.1666666666667,low,Macro,absent,19.2692307692308,28.1923076923077,37.5384615384615,Shrub single-stemmed,Graminoid,7,SU_S04_P05,SU_S04,13,Relaxed tussock graminoid,3,5
80,0,190,260,530,100,36.4285714285714,high,Thin linear,Absent,13.1111111111111,19.2222222222222,18.1111111111111,Relaxed tussock graminoid,Graminoid,5,LA_S03_P03,LA_S03,9,Creeping graminoid,2,7
55,0,50,310,310,685,40.9666666666667,low,Thin linear,Absent,14.7625,19.9125,34.9375,Angry tussock graminoid,Graminoid,6,LA_S05_P01,LA_S05,8,Relaxed tussock graminoid,2,5
50,15,150,80,1000,450,54,low,Thin linear,absent,11,23.3928571428571,24.8214285714286,Straight forb,Forb,6,WI_S05_P04,WI_S05,14,Angry tussock graminoid,8,6
50,0,90,130,150,180,26.5714285714286,low,Macro,absent,14.5,22.75,28.6388888888889,Straight forb,Forb,8,SY_S04_P05,SY_S04,18,Relaxed tussock graminoid,12,4
15,20,40,190,170,380,47.2941176470588,low,Thin linear,absent,13.8571428571429,18.9285714285714,31.6666666666667,Round forb,Forb,7,DA_S05_P05,DA_S05,21,Shrub single-stemmed,11,8
60,0,27,20,75,400,54.8,low,Thin linear,absent,21,34.7777777777778,41.2222222222222,Sparse upward graminoid,Forb,5,KA_S03_P02,KA_S03,9,Shrub single-stemmed,5,3
40,0,89,307,351,289,70.125,low,Thin linear,both,24.8181818181818,33.0909090909091,35.9090909090909,Sparse upward graminoid,Graminoid,7,KA_S02_P01,KA_S02,11,Angry tussock graminoid,4,6
30,30,150,68,269,536,20.1666666666667,low,Thin linear,leaves,10,15.25,9.16666666666667,Sparse upward graminoid,Graminoid,4,SW_S02_P02,SW_S02,6,Sparse upward graminoid,3,3
30,10,21,40,108,210,38.2857142857143,low,Macro,absent,16.0666666666667,20,26.7666666666667,Straight forb,Forb,7,SY_S02_P03,SY_S02,15,Sparse upward graminoid,7,4
25,0,40,20,710,340,62,low,Thin linear,absent,18.7083333333333,27.3333333333333,34.9166666666667,Angry tussock graminoid,Graminoid,8,SY_S04_P02,SY_S04,12,Angry tussock graminoid,2,8
60,0,272,220,1717,2095,55.46875,low,Thin linear,absent,10.4166666666667,14.9166666666667,18.1388888888889,Sparse upward graminoid,Graminoid,5,SU_S04_P01,SU_S05,18,Angry tussock graminoid,6,12
40,0,81,36,386,676,50.1153846153846,medium,Macro,absent,13.0263157894737,19.6052631578947,23.1052631578947,Straight forb,Forb,7,SU_S04_P03,SU_S05,19,Relaxed tussock graminoid,9,7
40,0,108,98,320,230,55.25,low,Macro,absent,11.8125,20.46875,18.9375,Straight forb,Forb,8,MA_S02_P04,MA_S02,16,Relaxed tussock graminoid,11,5
15,0,32,50,1040,2000,40.8181818181818,medium,Thin linear,absent,14.3888888888889,21.3333333333333,24.7222222222222,Straight forb,Forb,7,SY_S01_P03,SY_S01,18,Angry tussock graminoid,10,6
15,15,30,59,1835,1551,45.0588235294118,low,Thin linear,absent,9.47619047619048,13.9047619047619,23.2857142857143,Straight forb,Forb,6,DA_S05_P04,DA_S05,21,Angry tussock graminoid,13,7
25,35,160,370,630,1040,36.8611111111111,low,Thin linear,absent,10.0454545454545,15.4318181818182,15.3181818181818,Sparse upward graminoid,Forb,8,DA_S05_P03,DA_S05,22,Round forb,12,10
65,0,320,20,510,710,33.75,low,Thin linear,absent,14.15,19.5,25.3,Straight forb,Forb,5,SW_S01_P04,SW_S01,11,Sparse upward graminoid,6,5
20,0,70,130,310,120,35.2857142857143,low,Thin linear,Absent,11.25,23.5555555555556,16.6111111111111,Sparse upward graminoid,Forb,8,JE_S02_P01,JE_S02,18,Angry tussock graminoid,9,8
25,2,160,50,430,300,51.0555555555556,low,Thin linear,absent,10.5,16.8214285714286,23.8928571428571,Straight forb,Forb,8,SU_S02_P04,SU_S02,14,Angry tussock graminoid,7,6
30,15,60,20,108,80,50.03125,low,Macro,absent,15.66,26.86,39.68,Straight forb,Forb,9,DA_S01_P01,DA_S01,25,Shrub single-stemmed,13,7
10,0,30,100,290,440,56.2083333333333,low,Thin linear,absent,10.53125,17.3125,26.84375,Sparse upward graminoid,Forb,7,SU_S03_P01,SU_S01,16,Sparse upward graminoid,8,7
40,0,280,230,470,280,34.9166666666667,low,Thin linear,Absent,11.4666666666667,17.2,18.4666666666667,Relaxed tussock graminoid,Forb,7,LA_S01_P02,LA_S01,15,Relaxed tussock graminoid,9,6
46,0,160,70,580,180,29.1818181818182,low,Thin linear,Absent,12.3076923076923,20.4615384615385,17.4615384615385,Straight forb,Forb,7,LA_S01_P04,LA_S01,13,Tree single-stemmed,10,3
60,0,780,300,715,610,38.25,low,Thin linear,Absent,10.7272727272727,15.7272727272727,13.7272727272727,Straight forb,Forb,7,LA_S01_P05,LA_S01,11,Angry tussock graminoid,6,5
45,5,101,190,900,470,28.3888888888889,low,Micro,Absent,13.2916666666667,18.375,18.4583333333333,Sparse upward graminoid,Forb,7,LA_S02_P01,LA_S02,12,Angry tussock graminoid,6,5
30,20,250,110,500,110,32.3333333333333,low,Thin linear,Absent,6.78571428571429,16.2857142857143,19.1428571428571,Straight forb,Forb,3,LA_S02_P02,LA_S02,7,Angry tussock graminoid,4,3
30,20,390,400,420,710,25.6,low,Macro,Absent,9.64285714285714,15.7857142857143,14.8571428571429,Sparse upward graminoid,Forb,5,LA_S02_P03,LA_S02,7,Angry tussock graminoid,4,3
35,5,170,140,300,610,46.7,low,Thin linear,Absent,11,20.5,24.3333333333333,Sparse upward graminoid,Graminoid,7,LA_S02_P05,LA_S02,12,Sparse upward graminoid,5,6
95,0,240,460,840,348,33.5625,low,Thin linear,Absent,4.85555555555556,7.13333333333333,19.5625,Sparse upward graminoid,Graminoid,4,LA_S05_P02,LA_S05,9,Sparse upward graminoid,2,7
90,2,75,165,160,340,43.0833333333333,medium,Thin linear,Absent,12.875,16.875,21.9375,Sparse upward graminoid,Graminoid,6,LA_S04_P05,LA_S04,8,Angry tussock graminoid,2,5
80,0,170,120,250,160,47.9375,low,Thin linear,Absent,5.31818181818182,8.77272727272727,19.6818181818182,Sparse upward graminoid,Graminoid,4,LA_S04_P04,LA_S04,11,Sparse upward graminoid,4,7
60,0,350,440,400,900,29.85,low,Thin linear,Absent,7.51538461538462,10.8615384615385,13.1153846153846,Relaxed tussock graminoid,Forb,6,JE_S01_P02,JE_S01,13,Creeping forb,7,6
40,0,300,330,110,420,26.4545454545455,medium,Thin linear,Absent,20.6363636363636,37.2727272727273,18.9090909090909,Angry tussock graminoid,Forb,5,JE_S01_P04,JE_S01,11,Angry tussock graminoid,7,4
50,30,260,200,210,240,16.625,low,Thin linear,Absent,12.3,17.85,10.85,Straight forb,Forb,5,JE_S03_P01,JE_S03,10,Creeping forb,7,3
85,0,30,110,300,120,31.8,low,Thin linear,Absent,9.5,12.5,13.25,Round forb,Forb,7,JE_S03_P02,JE_S03,18,Sparse upward graminoid,11,6
20,0,110,230,930,180,29.8333333333333,low,Macro,Absent,11.175,19.525,14.2,Straight forb,Forb,7,JE_S03_P03,JE_S03,20,Sparse upward graminoid,11,8
75,0,250,320,450,850,22.5769230769231,low,Thin linear,Absent,6.9,20.3666666666667,9.43333333333333,Round forb,Forb,6,JE_S02_P03,JE_S02,15,Creeping graminoid,8,7
25,5,180,170,500,180,27.4230769230769,low,Thin linear,Absent,14.4642857142857,24.25,10.75,Relaxed tussock graminoid,Graminoid,7,JE_S02_P05,JE_S02,14,Creeping forb,6,8
30,0,110,380,110,450,24.6333333333333,low,Thin linear,Absent,12.2,14.9,15.55,Relaxed tussock graminoid,Forb,8,JE_S04_P01,JE_S04,20,Angry tussock graminoid,11,8
30,5,460,110,500,180,38.5714285714286,low,Thin linear,Absent,12.7,18.2,14.775,Round forb,Forb,8,JE_S04_P03,JE_S04,20,Angry tussock graminoid,12,8
25,15,100,100,350,410,30.3636363636364,low,Macro,both,12.4615384615385,20.5384615384615,18.0769230769231,Round forb,Forb,6,JE_S04_P05,JE_S04,13,Creeping forb,8,4
10,30,170,70,530,610,30.075,low,Thin linear,absent,10.4615384615385,12.3846153846154,16.9807692307692,Straight forb,Forb,8,WI_S01_P01,WI_S01,26,Round forb,17,9
25,0,160,290,300,370,35.2222222222222,low,Thin linear,absent,13.6666666666667,17.7083333333333,18.1666666666667,Round forb,Forb,6,JE_S05_P03,JE_S05,12,Angry tussock graminoid,7,5
45,0,80,50,200,180,42.7272727272727,low,Macro,absent,19.3571428571429,31.0714285714286,30.1428571428571,Relaxed tussock graminoid,Graminoid,7,JE_S05_P05,JE_S05,14,Relaxed tussock graminoid,5,6
25,0,270,151,163,427,32.4444444444444,low,Macro,absent,22,35.5454545454545,46.9545454545455,Round forb,Forb,6,WI_S05_P02,WI_S05,11,Angry tussock graminoid,7,3
20,30,200,190,900,510,45.4545454545455,low,Thin linear,absent,16,20.6666666666667,21.25,Round forb,Graminoid,7,WI_S05_P05,WI_S05,12,Angry tussock graminoid,5,7
15,0,190,110,360,370,39.5,low,Thin linear,absent,10.3684210526316,12.5631578947368,20.3947368421053,Sparse upward graminoid,Forb,7,WI_S01_P05,WI_S01,19,Angry tussock graminoid,10,9
40,0,95,121,282,110,30.85,low,Thin linear,absent,13.2857142857143,18.5714285714286,19.8928571428571,Straight forb,Forb,7,WI_S03_P03,WI_S03,14,Angry tussock graminoid,8,5
60,0,270,100,250,130,31.5454545454546,low,Macro,absent,64.4615384615385,24.5769230769231,19.5,Round forb,Forb,7,WI_S03_P04,WI_S03,13,Angry tussock graminoid,9,4
75,0,290,130,300,370,41.375,low,Thin linear,absent,10.8333333333333,16.8888888888889,16.9722222222222,Relaxed tussock graminoid,Graminoid,7,WI_S04_P01,WI_S04,18,Relaxed tussock graminoid,8,10
15,40,5,43,1050,410,26.7272727272727,low,Thin linear,absent,6.70588235294118,10.5882352941176,15.7058823529412,Straight forb,Forb,7,SY_S01_P02,SY_S01,17,Relaxed tussock graminoid,9,6
20,20,77,98,40,36,47.875,low,Thin linear,absent,18,24.71875,33.65625,Straight forb,Forb,9,SY_S03_P03,SY_S03,16,Creeping forb,9,5
60,0,100,30,470,480,36.9230769230769,low,Thin linear,absent,8.18421052631579,14.1052631578947,18.2105263157895,Sparse upward graminoid,Forb,6,SU_S01_P05,SU_S01,19,Sparse upward graminoid,10,8
5,0,30,30,600,400,67,low,Thin linear,absent,8.7,12.4666666666667,28.5333333333333,Sparse upward graminoid,Graminoid,7,SU_S03_P02,SU_S01,15,Relaxed tussock graminoid,6,7
30,0,20,70,410,30,61.0588235294118,low,Thin linear,absent,16.74,24.34,28.24,Straight forb,Graminoid,10,SU_S04_P02,SU_S05,25,Angry tussock graminoid,9,12
60,20,72,40,235,215,49.5,low,Thin linear,absent,24.6388888888889,29.6111111111111,33.8888888888889,Sparse upward graminoid,Graminoid,6,DA_S01_P03,DA_S01,18,Sparse upward graminoid,4,9
70,5,10,40,310,150,40.0416666666667,low,Macro,absent,20.1666666666667,25.2222222222222,38.6666666666667,Straight forb,Forb,5,DA_S01_P05,DA_S01,18,Shrub single-stemmed,7,5
70,0,60,300,373,360,36.8571428571429,low,Thin linear,absent,10.3,15.675,8.475,Sparse upward graminoid,Forb,6,DA_S03_P01,DA_S03,20,Sparse upward graminoid,11,7
50,0,70,80,310,100,46.3666666666667,low,Thin linear,absent,15.475,21.75,22.175,Sparse upward graminoid,Graminoid,8,DA_S03_P02,DA_S03,20,Shrub single-stemmed,8,8
30,0,40,125,193,282,45.0714285714286,low,Macro,absent,11.2083333333333,17.4375,24.1041666666667,Sparse upward graminoid,Forb,7,DA_S03_P03,DA_S03,24,Large graminoid,13,8
50,0,60,40,120,170,48.9736842105263,low,Thin linear,absent,9.72916666666667,16.1666666666667,19.5416666666667,Straight forb,Graminoid,11,DA_S02_P01,DA_S02,24,Straight forb,11,11
45,15,90,60,165,50,47.6,low,Thin linear,absent,19,29.4444444444444,34.4722222222222,Sparse upward graminoid,Graminoid,8,DA_S05_P02,DA_S05,18,Straight forb,7,9
15,0,90,150,990,80,18.2142857142857,low,Thin linear,absent,5.91176470588235,8.08823529411765,8.76470588235294,Sparse upward graminoid,Graminoid,5,AN_S01_P01,AN_S01,17,Sparse upward graminoid,7,8
