species_common,species,Lapalala,Jembisa,Willowisp,Syringa Sands,Summerplace,Dabchick,Ant's Farm,Kaingo,Swebeswebe,Marakele
Baboon troops ,Papio ursinus,,4,0,,,,,10,,0
Black Rhino,Diceros bicornis,12.5,,0,,,0,,,,0
Blesbok,Damaliscus pygargus,,2,0,15,,80,30,16,,0
Blue duiker,Philantomba monticola,,,0,,,,,,,0
Blue wildebeest,Connochaetes taurinus,635,110,0,25,10,150,250,330,50,0
Bontebok,Damaliscus pygargus,,,0,,,,,,,0
Brown hyaena,Hyaena brunnea,,,0,,,,1.5,10,,0
Buffalo,Syncerus caffer,222,,0,,,91,75,201,,0
Bushbuck,Tragelaphus sylvaticus,69,4,0,10,30,5,1.5,30,35,0
Bushpig,Potamochoerus larvatus,32,,0,,,11,1.5,15,50,0
Cattle, Bos taurus africanus,,,0,,185,0,,,150,0
Cheetah,Acinonyx jubatus,,,0,,,,,3,,0
Common duiker,Sylvicapra grimmia,31,,0,,,5,1.5,20,20,0
Damara dik-dik,Madoqua kirkii,,,0,,,,,,,0
Eland,Taurotragus oryx,212,54,0,18,50,39,55,3,20,0
Elephant,Loxodonta africana,27,,0,,,0,,28,,0
Gemsbok,Oryx gazella,,3,0,,,,9,,,0
Giraffe,Giraffa giraffa,137,30,0,15,40,18,55,60,16,0
Grey rhebok,Pelea capreolus,,,0,,,,,,,0
Grysbok Cape ,Raphicerus melanotis,,,0,,,,,,,0
Grysbok tropical/Sharpe's,Raphicerus sharpei,5,,0,,,,,,13,0
Hippo,Hippopotamus amphibius,20,,0,,,0,,10,,0
Impala,Aepyceros melampus,1064,143,1.5,104,170,64,190,550,350,0
Jackal,Canis mesomelas,24,7,0,,,,1.5,30,,0
Klipspringer,Oreotragus oreotragus,88,,0,12,,3,,40,50,0
Kudu,Tragelaphus strepsiceros,440,36,0,60,80,55,89,280,350,0
Leopard,Panthera pardus,5,8,0,,,,3,8,,0
Lion,Panthera leo,10,,0,,,,,6,,0
Mountain Reedbuck,Redunca fulvorufula,13,1,0,,30,,,10,40,0
Nyala,Tragelaphus angasii,21,,0,25,,13,21,20,,0
Oribi,Ourebia ourebi,,,0,,,,,,,0
Red duiker,Cephalophus natalensis,,,0,,,,,,,0
Red hartebeest,Alcelaphus buselaphus,21,2,0,8,,13,25,,,0
Reedbuck,Redunca arundinum,,,0,15,30,4,20,,,0
Roan,Hippotragus equinus,31,,0,,60,,30,,,0
Sable,Hippotragus niger,7,,0,14,30,2,15,34,25,0
Springbok,Antidorcas marsupialis,,,0,,,,,,,0
Steenbok,Raphicerus campestris,3,,0,,,5,,20,14,0
Suni,Neotragus moschatus,,,0,,,,,,,0
Tsessebe,Damaliscus lunatus,,,0,,40,4,,3,,0
Warthog,Phacochoerus africanus,486,32,1.5,,200,50,194,200,135,1.5
Waterbuck,Kobus ellipsiprymnus,105,16,0,6,30,8,15,105,,0
White Rhino,Ceratotherium simum,12.5,,0,,,22,12,12.5,,0
Zebra,Equus quagga,1325,93,0,25,70,120,170,450,100,0