plot_ID,reserve,site_ID,time,date,weather,megafauna_presence,topographic_position,bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,camera_ID,notes
LA_S01_P01,Lapalala,LA_S01,8:26,15/02/2024,"Sunny, no clouds","Impala poop x 2, spoor",Flat,25,0,240,240,840,230,,
LA_S01_P02,Lapalala,LA_S01,12:22,15/02/2024,"Sunny, no clouds",No obvious signs,Flat,40,0,280,230,470,280,,
LA_S01_P03,Lapalala,LA_S01,14:23,15/02/2024,"Sunny, no clouds",,Flat,5,40,150,260,125,210,ECO_01,shaded
LA_S02_P01,Lapalala,LA_S02,8:00,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,45,5,101,190,900,470,,
LA_S02_P02,Lapalala,LA_S02,9:19,16/02/2024,"Sunny, no clouds",Old feces ,Flat,30,20,250,110,500,110,,
LA_S02_P03,Lapalala,LA_S02,10:35,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,30,20,390,400,420,710,ECO_05,
LA_S02_P04,Lapalala,LA_S02,,16/02/2024,"Sunny, no clouds",Elephant dung,Flat,10,5,120,100,450,130,,
LA_S02_P05,Lapalala,LA_S02,13:00,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,35,5,170,140,300,610,,
LA_S01_P04,Lapalala,LA_S01,15:09,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,46,0,160,70,580,180,,
LA_S01_P05,Lapalala,LA_S01,16:00,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,60,0,780,300,715,610,,
LA_S03_P01,Lapalala,LA_S03,9:32,17/02/2024,"Sunny, hot, windy",No obvious signs,Flat,50,0,250,190,350,260,,
LA_S03_P02,Lapalala,LA_S03,11:39,17/02/2024,"Sunny, hot, windy",No obvious signs,Flat,75,0,220,180,430,570,,
LA_S03_P03,Lapalala,LA_S03,13:03,17/02/2024,"Sunny, hot, windy","Spoor, old rhino/elephant dung","Flat, slight slope",80,0,190,260,530,100,ECO_02,
LA_S03_P04,Lapalala,LA_S03,,17/02/2024,"Hot, cloudy",No obvious signs,Flat,25,0,180,,100,70,,Next to huge termite digging activity. Shaded. Old rhino footprints.
LA_S03_P05,Lapalala,LA_S03,16:30,17/02/2024,"Hot, cloudy","Tracks, elephant claws",Flat,10,0,110,70,130,370,,Some giraffe spoor. 30% covered by tree-growing ochird.
LA_S05_P05,Lapalala,LA_S05,16:29,18/02/2024,"sunny, hot, windy",Spoor,Flat,2,0,100,350,110,90,,
LA_S04_P01,Lapalala,LA_S04,7:32,18/10/2024,"Sunny, very windy",No obvious signs,Flat,50,0,100,160,90,190,,Burrow close to plot
LA_S04_P02,Lapalala,LA_S04,8:53,18/02/2024,"Sunny, windy",Spoor,Flat,40,0,58,116,170,110,,
LA_S04_P03,Lapalala,LA_S04,10:03,18/02/2024,"Sunny, windy",Dung,Flat,75,0,110,185,198,170,ECO_03,Animal diggings 0.5 m away
LA_S05_P01,Lapalala,LA_S05,13:29,18/02/2024,"Sunny, windy",,Flat,55,0,50,310,310,685,,
LA_S05_P02,Lapalala,LA_S05,14:18,18/02/2024,"Sunny, windy","Spoor, old dung",Flat,95,0,240,460,840,348,,
LA_S05_P03,Lapalala,LA_S05,15:05,18/02/2024,"Sunny, windy",Rhino and wildebeast dung,Flat,10,0,138,60,116,455,ECO_04,
LA_S05_P04,Lapalala,LA_S05,15:55,18/02/2024,"Hot, windy","spoor, impala/steenbok dung",Flat,40,0,350,110,640,610,,
LA_S04_P05,Lapalala,LA_S04,12:10,18/02/2024,"Hot, sunny, windy",impala dung,Flat,90,2,75,165,160,340,,
LA_S04_P04,Lapalala,LA_S04,11:19,18/02/2024,"Hot, sunny, windy",No obvious signs,Flat,80,0,170,120,250,160,,
JE_S01_P01,Jembisa,JE_S01,11:41,21/02/2024,Sunny,Zebra dung,Flat ,20,0,180,100,1000,350,ECO_06,
JE_S01_P02,Jembisa,JE_S01,12:50,21/02/2024,Sunny,"Path through corner, zebra tracks, and diggings of sort in plot",Flat,60,0,350,440,400,900,ECO_06,Wetter than other sites/ plots
JE_S01_P03,Jembisa,JE_S01,13:52,21/02/2024,Sunny,"Next to path, some debra dung and spoor",Flat,30,0,100,130,300,590,ECO_06,
JE_S01_P04,Jembisa,JE_S01,14:58,21/02/2024,Raining,"Wildlife path nearby, dung of multiple species",Flat,40,0,300,330,110,420,ECO_06,
JE_S01_P05,Jembisa,JE_S01,15:42,21/02/2024,Raining,Old zebra dung in plot,Flat,40,0,70,100,430,440,ECO_06,
JE_S03_P01,Jembisa,JE_S03,14:12,22/02/2024,Sunny,Old zebra dung,"Flat, very rocky",50,30,260,200,210,240,ECO_08,
JE_S03_P02,Jembisa,JE_S03,14:44,22/02/2024,"Sunny, some clouds","Fresh antelope dung, strong smell",Flat,85,0,30,110,300,120,ECO_08,
JE_S03_P03,Jembisa,JE_S03,15:31,22/02/2024,Sunny,"Next to path, browsing damage",Flat,20,0,110,230,930,180,ECO_08,
JE_S03_P04,Jembisa,JE_S03,16:00,22/02/2024,Sunny,Dung,"Flat, very rocky",50,30,140,180,600,500,ECO_08,
JE_S03_P05,Jembisa,JE_S03,16:30,22/02/2024,"Sunny, some clouds",Zebra dung,Flat,40,20,230,510,540,780,ECO_08,
JE_S02_P01,Jembisa,JE_S02,10:15,22/02/2024,"Sunny, no clouds","path, old dung, herd of wildebeest present at arrival",Flat,20,0,70,130,310,120,ECO_07,"comparatively short veg, close to wildlife path"
JE_S02_P02,Jembisa,JE_S02,11:16,22/02/2024,"Sunny, no clouds",dung,Flat,50,0,5,20,220,170,,
JE_S02_P03,Jembisa,JE_S02,12:12,22/02/2024,"Sunny, no clouds",Path through one side,Flat,75,0,250,320,450,850,,
JE_S02_P04,Jembisa,JE_S02,12:47,22/02/2024,Sunny,,Flat,40,0,100,130,460,300,,
JE_S02_P05,Jembisa,JE_S02,13:10,22/02/2024,Sunny,Antelope dung,Flat,25,5,180,170,500,180,,
JE_S04_P01,Jembisa,JE_S04,8:03,23/02/2024,Sunny,"path nearby, dung",Flat,30,0,110,380,110,450,,
JE_S04_P02,Jembisa,JE_S04,9:16,23/02/2024,Sunny,some plants eaten,Flat,25,0,120,170,340,220,ECO_09,
JE_S04_P03,Jembisa,JE_S04,10:08,23/02/2024,Sunny,"dung in plot, some plants show signs of herbivory",Flat,30,5,460,110,500,180,,
JE_S04_P04,Jembisa,JE_S04,11:05,23/02/2024,Sunny,path nearby ,Flat,20,0,250,420,570,710,,
JE_S04_P05,Jembisa,JE_S04,11:58,23/02/2024,Sunny,"Some dung, path nearby ",Flat,25,15,100,100,350,410,,
JE_S05_P01,Jembisa,JE_S05,13:11,23/02/2024,"Sunny, some clouds",Dung of multiple species,Flat,75,0,240,220,1040,220,ECO_10,
WI_S01_P01,Willowisp,WI_S01,7:32,24/02/2024,Sunny,No obvious signs,Flat,10,30,170,70,530,610,,
WI_S01_P02,Willowisp,WI_S01,9:02,24/02/2024,"Sunny, windy",No obvious signs,Flat,10,0,710,450,1000,710,,
WI_S01_P03,Willowisp,WI_S01,10:00,24/02/2024,"Sunny, windy",No obvious signs,Flat,10,0,110,50,90,180,,
WI_S01_P04,Willowisp,WI_S01,11:08,24/02/2024,Sunny,No obvious signs,Flat,10,0,20,60,120,270,,Shaded
WI_S01_P05,Willowisp,WI_S01,11:52,24/02/2024,Sunny,No obvious signs,Flat,15,0,190,110,360,370,,
JE_S05_P02,Jembisa,JE_S05,13:59,23/02/2024,"Sunny, some clouds",Poops(zebra+antelope),Flat,60,0,250,730,500,450,,
JE_S05_P03,Jembisa,JE_S05,14:51,23/02/2024,Sunny,Browsing damage,Flat,25,0,160,290,300,370,,
JE_S05_P04,Jembisa,JE_S05,15:35,23/02/2024,Sunny,No obvious signs,Flat,50,0,90,80,250,100,,"Shaded, near a huge burrow"
JE_S05_P05,Jembisa,JE_S05,16:30,23/02/2024,Sunny,Heavy browsing,Flat,45,0,80,50,200,180,,
WI_S05_P01,Willowisp,WI_S05,15:13,25/02/2024,Sunny,No obvious signs,Flat,10,15,65,150,640,498,,
WI_S05_P02,Willowisp,WI_S05,15:51,25/02/2024,Sunny,No obvious signs,Flat,25,0,270,151,163,427,,
WI_S05_P03,Willowisp,WI_S05,16:27,25/02/2024,Sunny,No obvious signs,Flat,5,30,222,463,64,145,,40 % shaded by Hexalobus monopetalus
WI_S05_P04,Willowisp,WI_S05,17:13,25/02/2024,Sunny,No obvious signs,Flat,50,15,150,80,1000,450,,
WI_S05_P05,Willowisp,WI_S05,17:49,25/02/2024,Sunset,Impala spoor nearby,Flat,20,30,200,190,900,510,,
WI_S03_P01,Willowisp,WI_S03,7:07,25/02/2024,Sunny,No obvious signs,Flat,60,25,100,70,20,170,,
WI_S03_P02,Willowisp,WI_S03,7:53,25/02/2024,Sunny,No obvious signs,Flat,40,30,110,110,290,100,,
WI_S03_P03,Willowisp,WI_S03,8:46,25/02/2024,Sunny,No obvious signs,Flat,40,0,95,121,282,110,,
WI_S03_P04,Willowisp,WI_S03,9:30,25/02/2024,Sunny,No obvious signs,Flat,60,0,270,100,250,130,,
WI_S03_P05,Willowisp,WI_S03,10:11,25/02/2024,Sunny,No obvious signs,Flat,15,0,220,80,230,510,,
WI_S04_P01,Willowisp,WI_S04,11:27,25/02/2024,Sunny,No obvious signs,Flat,75,0,290,130,300,370,,general area is rocky
WI_S04_P02,Willowisp,WI_S04,12:13,25/02/2024,Sunny,No obvious signs,Flat,10,60,15,51,200,320,,Very rocky
WI_S04_P03,Willowisp,WI_S04,12:58,25/02/2024,Sunny,No obvious signs,Flat,30,50,51,120,76,100,,
WI_S04_P04,Willowisp,WI_S04,14:00,25/02/2024,Sunny,No obvious signs,Flat,60,10,8,13,74,220,,shaded
WI_S04_P05,Willowisp,WI_S04,14:36,25/02/2024,Sunny,No obvious signs,Flat,20,40,120,120,430,140,,
WI_S02_P01,Willowisp,WI_S02,13:06,24/02/2024,Sunny,No obvious signs,Flat,15,0,20,80,70,120,,
WI_S02_P02,Willowisp,WI_S02,14:10,24/02/2024,Sunny,No obvious signs,Flat,10,2,80,50,720,140,,
WI_S02_P03,Willowisp,WI_S02,14:53,24/02/2024,Sunny,No obvious signs,Flat,15,0,30,40,160,50,,
WI_S02_P04,Willowisp,WI_S02,16:15,24/02/2024,Sunny,Very old impala poop,Flat,5,5,77,240,70,90,,
WI_S02_P05,Willowisp,WI_S02,,24/02/2024,Sunny,No obvious signs,Flat,10,30,230,240,250,670,,
SY_S01_P03,Syringa Sands,SY_S01,15:19,27/02/2024,Cloudy,Lots of droppings nearby,Flat,15,0,32,50,1040,2000,,
SY_S01_P02,Syringa Sands,SY_S01,14:30,27/02/2024,Overcast,,Flat,15,40,5,43,1050,410,,
SY_S01_P04,Syringa Sands,SY_S01,16:17,27/02/2024,Cloudy,Droppings,Flat,20,0,60,60,170,50,,
SY_S01_P01,Syringa Sands,SY_S01,13:28,27/02/2024,Overcast,Some browsing damage,Flat,5,0,36,208,1205,1510,,
SY_S01_P05,Syringa Sands,SY_S01,17:11,27/02/2024,Cloudy,Lots of droppings,Flat,15,0,80,40,190,30,,
SY_S02_P01,Syringa Sands,SY_S02,7:22,28/02/2024,"Overcast, cold",Lots of small antelope droppings,Flat,20,10,70,135,1230,1640,,
SY_S02_P02,Syringa Sands,SY_S02,8:11,28/02/2024,Cloudy,Zebra droppings,Flat,5,0,71,15,170,481,,Shaded
SY_S02_P03,Syringa Sands,SY_S02,9:00,28/02/2024,"Cloudy, windy",,Flat,30,10,21,40,108,210,ECO_17,
SY_S02_P04,Syringa Sands,SY_S02,9:47,28/02/2024,"Cloudy, windy",Small antelope droppings,Flat,30,0,167,80,250,375,,
SY_S02_P05,Syringa Sands,SY_S02,10:36,28/02/2024,"Cloudy, windy",,Flat,10,0,17,44,220,102,,Shaded
SY_S05_P01,Syringa Sands,SY_S05,7:12,29/02/2024,Overcast,Large antelope droppings,Slightly sloped,15,5,309,251,402,148,,
SY_S05_P02,Syringa Sands,SY_S05,7:44,29/02/2024,Overcast,Large antelope droppings,Slightly sloped,10,2,325,25,672,152,,
SY_S05_P03,Syringa Sands,SY_S05,8:16,29/02/2024,Overcast,,Slightly sloped,5,0,590,60,940,660,,
SY_S05_P04,Syringa Sands,SY_S05,9:02,29/02/2024,Overcast,Large antelope droppings,Slightly sloped,10,25,62,101,720,390,,
SY_S05_P05,Syringa Sands,SY_S05,9:33,29/02/2024,Overcast,Large antelope droppings,Slightly sloped,15,10,76,60,1500,1050,,
SY_S03_P01,Syringa Sands,SY_S03,12:52,28/02/2024,Cloudy,Antelope droppings,Flat,25,0,950,80,1050,100,,
SY_S03_P02,Syringa Sands,SY_S03,13:29,28/02/2024,Cloudy,"Antelope droppings in plot, some browsing damage",Flat,30,5,60,97,111,995,,
SY_S03_P03,Syringa Sands,SY_S03,14:20,28/02/2024,"Sunny, some clouds",Some droppings,Flat,20,20,77,98,40,36,,25% moss cover
SY_S03_P04,Syringa Sands,SY_S03,15:21,28/02/2024,"Cloudy, windy",Antelope droppings,Flat,20,0,323,64,1800,1500,,
SY_S03_P05,Syringa Sands,SY_S03,15:50,28/02/2024,Cloudy,Droppings,Flat,40,0,79,190,122,182,,
SY_S04_P01,Syringa Sands,SY_S04,16:40,28/02/2024,"Sunny, some clouds",Droppings of zebra/ wildebeast/ giraffe,Flat,10,5,80,191,499,767,,
SY_S04_P02,Syringa Sands,SY_S04,17:14,28/02/2024,Cloudy,Antelope droppings,Slightly sloped (towards P3),25,0,40,20,710,340,,
SY_S04_P03,Syringa Sands,SY_S04,17:44,28/02/2024,Cloudy,Antelope droppings,Slightly sloped,20,0,310,30,240,220,,
SY_S04_P04,Syringa Sands,SY_S04,10:47,29/02/2024,Overcast,,,10,0,100,257,785,890,,
SY_S04_P05,Syringa Sands,SY_S04,11:23,29/02/2024,Overcast,Antelope droppings,,50,0,90,130,150,180,,Shaded
SU_S01_P01,Summerplace,SU_S01,13:49,01/03/2024,Sunny,Droppings in plot,Flat,10,0,110,80,230,210,,
SU_S01_P02,Summerplace,SU_S01,14:58,01/03/2024,Sunny,Antelope droppings in plot,Flat,15,0,150,93,173,110,,
SU_S01_P03,Summerplace,SU_S01,15:35,01/03/2024,Sunny,No obvious signs,Flat,30,0,72,40,213,67,ECO_21,
SU_S01_P04,Summerplace,SU_S01,16:50,01/03/2024,Sunny,Droppings nearby,Flat,10,0,40,40,130,80,,
SU_S01_P05,Summerplace,SU_S01,17:47,01/03/2024,Sunset,Droppings nearby,Flat,60,0,100,30,470,480,,
SU_S03_P01,Summerplace,SU_S01,12:45,02/03/2024,"Sunny, some clouds",Cattle dung nearby ,Flat,10,0,30,100,290,440,,
SU_S03_P02,Summerplace,SU_S01,13:39,02/03/2024,Sunny,Some droppings,Flat,5,0,30,30,600,400,,
SU_S03_P03,Summerplace,SU_S01,14:19,02/03/2024,"Sunny, some clouds","Droppings nearby, flattened grasses",Flat,10,0,160,40,430,390,ECO_23,
SU_S03_P04,Summerplace,SU_S01,14:55,02/03/2024,"Sunny, some clouds ",Antelope droppings,Flat,10,0,190,60,250,390,,
SU_S03_P05,Summerplace,SU_S03,15:40,02/03/2024,"Sunny, some clouds",Old dung,Flat,10,0,80,110,520,80,,
SU_S02_P01,Summerplace,SU_S02,7:20,02/03/2024,Sunny,Some antelope & cattle droppings nearby,Flat,10,0,72,100,226,217,,
SU_S02_P02,Summerplace,SU_S02,8:53,02/03/2024,Sunny,,Slightly sloped,50,0,130,5,60,250,,Shaded
SU_S02_P03,Summerplace,SU_S02,9:45,02/03/2024,Sunny,Antelope droppings,Flat,20,1,80,130,500,190,,
SU_S02_P04,Summerplace,SU_S02,10:43,02/03/2024,Sunny,Antelope droppings,Flat,25,2,160,50,430,300,,
SU_S02_P05,Summerplace,SU_S02,11:24,02/03/2024,Sunny,Large antelope droppings,Flat,10,0,170,120,140,90,,
SU_S05_P01,Summerplace,SU_S05,12:44,03/03/2024,"Sunny, hot",Droppings nearby ,Flat,40,0,311,165,413,170,,
SU_S05_P02,Summerplace,SU_S05,13:18,03/03/2024,"Sunny, hot",Droppings nearby ,Flat,65,0,49,156,173,247,,
SU_S05_P03,Summerplace,SU_S05,13:58,03/03/2024,"Sunny, some clouds",Droppings nearby,Flat,75,0,115,191,119,101,ECO_25,
SU_S05_P04,Summerplace,SU_S05,14:45,03/03/2024,"Sunny, some clouds ",Droppings nearby ,Flat,40,0,100,240,260,320,,
SU_S05_P05,Summerplace,SU_S05,15:31,03/03/2024,Sunny,Large antelope and Zebra droppings in plot,Flat,55,0,110,60,330,100,,
SU_S04_P01,Summerplace,SU_S05,7:23,03/03/2024,Sunny,"Browsing damage, some large antelope droppings nearby ",Flat,60,0,272,220,1717,2095,,
SU_S04_P02,Summerplace,SU_S05,8:25,03/03/2024,Sunny,Browsing damage ,Flat,30,0,20,70,410,30,,
SU_S04_P03,Summerplace,SU_S05,9:35,03/03/2024,"Sunny, windy",No obvious signs,Flat,40,0,81,36,386,676,ECO_24,
SU_S04_P04,Summerplace,SU_S05,10:31,03/03/2024,"Sunny, windy",Old droppings,Flat,20,0,182,151,330,202,,
SU_S04_P05,Summerplace,SU_S04,11:07,03/03/2024,Sunny,Old droppings in plot,Flat,40,0,60,70,120,140,,Shaded
DA_S01_P01,Dabchick,DA_S01,13:05,05/03/2024,"Sunny, very windy ",Antelope droppings,Slightly sloped,30,15,60,20,108,80,,
DA_S01_P02,Dabchick,DA_S01,14:23,05/03/2024,"Sunny, very windy ",Old droppings,Slightly sloped,65,15,84,88,534,136,,
DA_S01_P03,Dabchick,DA_S01,15:34,05/03/2024,"Sunny, very windy ",Old droppings everywhere,Flat,60,20,72,40,235,215,,
